,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
15849,568065005,568065,BAMBAM loose top (1),252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Straight-cut yoga top in soft, fast-drying functional fabric with dropped shoulders and 3/4-length sleeves. Cut out section on one shoulder and at the back."
1455,350911002,350911,Bowtie Kalle,82,Tie,Accessories,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,9986,Small Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Pre-tied bow tie in a satin weave with an adjustable strap and fastening at the back. Width 11 cm.
29231,624942001,624942,SPEED CS Edith top,254,Top,Garment Upper body,1010004,Check,10,White,3,Light,9,White,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,Straight-style jacquard-knit top in soft dogtooth-patterned jersey with a round neck and 3/4-length sleeves that flare at the cuffs.
70074,759326009,759326,Honey Shape Swimsuit,57,Swimsuit,Swimwear,1010017,Stripe,10,White,3,Light,9,White,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Frill-trimmed wrapover top, lightly padded cups, decorative gathers in the sides, and adjustable shoulder straps."
1518,355072045,355072,Anita Tank (1),253,Vest top,Garment Upper body,1010016,Solid,91,Light Green,1,Dusty Light,19,Green,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Fitted vest top in soft jersey.
36681,651465002,651465,MOON LACE STRAP TOP,253,Vest top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,Fitted top in organic cotton jersey with narrow shoulder straps and a V-neck with a lace trim.
39618,662084001,662084,Nikita,264,Blazer,Garment Upper body,1010004,Check,6,Light Grey,1,Dusty Light,12,Grey,1212,Suit,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1008,Dressed,"Pattern-weave jacket with notch lapels, a detachable tie belt at the waist and no buttons. Lined."
97464,874388001,874388,COD zip through lambswool,245,Cardigan,Garment Upper body,1010010,Melange,8,Dark Grey,4,Dark,5,Black,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Cardigan knitted in soft wool with a small, ribbed stand-up collar, zip down the front, side pockets and ribbing at the cuffs and hem."
57538,717148001,717148,LOGG Atlantic crew,254,Top,Garment Upper body,1010008,Front print,42,Red,5,Bright,18,Red,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Top in printed sweatshirt fabric with long raglan sleeves and ribbing around the neckline, cuffs and hem. Soft brushed inside."
19418,583989004,583989,Otto sandal SB,91,Sandals,Shoes,1010016,Solid,93,Dark Green,4,Dark,19,Green,4211,Kids Boy Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Imitation leather sandals. Straps with adjustable fasteners and soft, moulded rubber soles."
3065,447596001,447596,Sindy round s-glass,81,Sunglasses,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3946,Small Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Round Sunglasses with metal and plastic frames and UV-protective, tinted lenses."
36254,649888003,649888,EBBE Treggings,272,Trousers,Garment Lower body,1010016,Solid,91,Light Green,1,Dusty Light,19,Green,7617,Kids Girl Trouser,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1009,Trousers,"Treggings in soft, stretch cotton twill with an elasticated waist, fake fly and button, fake front pockets and real back pockets."
9219,531284028,531284,Elliot l/l pj SB 2-p,297,Pyjama set,Nightwear,1010001,All over pattern,6,Light Grey,1,Dusty Light,12,Grey,4215,Kids Boy UW/NW,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1017,"Under-, Nightwear","Pyjamas in soft, printed cotton jersey. Long-sleeved top with ribbing around the neckline and cuffs. Bottoms with an elasticated waist and ribbed hems."
73983,774305002,774305,ACE DENIM,259,Shirt,Garment Upper body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,5783,Shirt,F,Menswear,3,Menswear,55,Contemporary Street,1011,Shirts,"Shirt in soft, washed denim with a collar, press-studs down the front and yoke at the back. Flap chest pockets with a press-stud, long sleeves with a press-stud at the cuffs, and a rounded hem."
70983,762288001,762288,Outfit set,270,Garment Set,Garment Full body,1010001,All over pattern,6,Light Grey,1,Dusty Light,12,Grey,6545,Baby Boy Jersey Fancy,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1005,Jersey Fancy,"Set with a bodysuit, pair of shorts and T-shirt in soft cotton jersey. Sleeveless bodysuit with press-studs at the shoulders and crotch. Shorts with an elasticated drawstring waist and side pockets. T-shirt with a press-stud on one shoulder (except in sizes 1½-4Y)."
65341,744141007,744141,SUSY HALF ZIP,252,Sweater,Garment Upper body,1010005,Colour blocking,7,Grey,1,Dusty Light,12,Grey,8716,Young Girl Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1005,Jersey Fancy,"Wide top in sweatshirt fabric with a stand-up collar, zip at the top, dropped shoulders, long sleeves and ribbing at the cuffs and hem. Soft brushed inside."
18115,577512007,577512,Hitchcock,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1313,Dress,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1013,Dresses Ladies,"Short, fitted dress in woven fabric with short cap sleeves and a concealed zip at the back with a safety button at the top. Seam at the waist and a slightly stretchy skirt with a slit at the back. Lined."
66572,748562002,748562,Window PQM sandal,91,Sandals,Shoes,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Leather sandals with leather insoles and rubber soles.
58418,719720002,719720,Cuba Dress,265,Dress,Garment Full body,1010001,All over pattern,51,Light Pink,3,Light,4,Pink,7613,Kids Girl Dresses,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1014,Dresses/Skirts girls,"Sleeveless dress in airy, patterned chiffon with narrow shoulder straps and three tiers to create width. Lined."
826,294237001,294237,Aurora winter cap,69,Cap/peaked,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Cap with an adjustable metal fastener at the back.
78110,792456002,792456,Juliana headband,75,Hat/beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Headband in a soft rib knit with a sparkly stone appliqué on the front.
50590,696991083,696991,TP Paddington Sweater,252,Sweater,Garment Upper body,1010017,Stripe,8,Dark Grey,2,Medium Dusty,12,Grey,7658,Kids Boy Knitwear,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1003,Knitwear,"Jumper in soft, fine-knit cotton with long sleeves and ribbing around the neckline, cuffs and hem."
30927,630325004,630325,Regular Printed tee 9.99 B3,255,T-shirt,Garment Upper body,1010014,Placement print,61,Light Purple,3,Light,4,Pink,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,T-shirt in printed cotton jersey.
51338,698778006,698778,BRISTOL BOLERO,245,Cardigan,Garment Upper body,1010016,Solid,81,Light Turquoise,3,Light,7,Turquoise,8718,Young Girl Knitwear,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1003,Knitwear,"Bolero in soft, fine-knit cotton with a button at the front and long sleeves."
94900,864500001,864500,Mia Blouse.,258,Blouse,Garment Upper body,1010016,Solid,93,Dark Green,2,Medium Dusty,19,Green,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in crinkled satin with a small collar and V-neck opening with a concealed button at the front. Gathered shoulder seams, a gathered yoke at the back and long sleeves with wide, buttoned cuffs."
65175,743910006,743910,TVP OSKAR TROUSER,272,Trousers,Garment Lower body,1010016,Solid,93,Dark Green,4,Dark,19,Green,6545,Baby Boy Jersey Fancy,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1005,Jersey Fancy,"Joggers in soft cotton sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside."
93287,857512004,857512,Molko pull on shorts,274,Shorts,Garment Lower body,1010001,All over pattern,82,Turquoise,3,Light,7,Turquoise,7617,Kids Girl Trouser,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1009,Trousers,"Pull-on shorts in stretch cotton twill with covered elastication at the waist, a fake fly and fake front pockets."
81900,806612002,806612,Billy cardigan,245,Cardigan,Garment Upper body,1010016,Solid,61,Light Purple,3,Light,6,Lilac Purple,7618,Kids Girl Knitwear,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1003,Knitwear,"Cardigan in soft, purl-knit cotton with buttons down the front and long sleeves with sewn-in turn-ups at the cuffs."
86966,825688001,825688,Dinara,252,Sweater,Garment Upper body,1010010,Melange,13,Beige,1,Dusty Light,1,Mole,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Turtleneck jumper in a soft rib knit containing some wool with low dropped shoulders, long, balloon sleeves and wide ribbing at the cuffs and hem. The polyester content of the jumper is recycled."
99216,883024001,883024,CS Lolipop jumpsuit,272,Trousers,Garment Lower body,1010004,Check,11,Off White,1,Dusty Light,9,White,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Ankle-length jumpsuit in crinkled jersey with a gentle V-neck front and back and narrow shoulder straps. Elasticated seam and a narrow, detachable tie belt at the waist, and wide, straight legs."
25165,611584004,611584,Piper top,253,Vest top,Garment Upper body,1010001,All over pattern,9,Black,4,Dark,5,Black,1644,Projects Jersey & Knitwear,D,Divided,2,Divided,50,Divided Projects,1005,Jersey Fancy,"Short top in soft jersey with narrow shoulder straps, a zip in one side and wide lace trim at the hem."
93705,859236004,859236,Tropicana Tie Tanga,59,Swimwear bottom,Swimwear,1010026,Other structure,11,Off White,3,Light,9,White,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a low waist, ties at the sides and medium coverage at the back."
6344,504852002,504852,Atlantis Printed Bomber,262,Jacket,Garment Upper body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,1244,Outdoor/Blazers,D,Divided,2,Divided,53,Divided Collection,1007,Outdoor,Satin bomber jacket with a stand-up collar and zip down the front. Lined.
189,189654001,189654,Raven skirt,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short jersey skirt with an elasticated waist.
3754,464908040,464908,Liza Thong Low (Malva) 3pk,286,Underwear bottom,Underwear,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Thong briefs in microfibre with a low waist, lined gusset, narrow sides and string back."
98140,877666001,877666,ED Antonia tee,255,T-shirt,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Straight-cut T-shirt in heavy cotton jersey with a round, rib-trimmed neckline."
14981,564934008,564934,Ben ss polo,255,T-shirt,Garment Upper body,1010016,Solid,41,Light Red,7,Medium,18,Red,8748,Young Boy Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1005,Jersey Fancy,"Short-sleeved cotton piqué top with a ribbed collar, button placket, small embroidered detail on the chest and narrow ribbing at the cuffs."
104162,919411001,919411,Stefanie NT top,254,Top,Garment Upper body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Fitted nursing top in soft jersey made from a cotton blend with a slightly deeper neckline and long sleeves. Double layer at the top with a practical inner top for easier nursing access.
9117,529841002,529841,Lauper Sweater,252,Sweater,Garment Upper body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a marled knit containing some wool with ribbed side sections, slits in the sides and wide ribbing at the cuffs and hem. Slightly longer at the back."
86228,823070007,823070,PIA 2-PACK,255,T-shirt,Garment Upper body,1010012,Mixed solid/pattern,51,Light Pink,1,Dusty Light,4,Pink,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,T-shirts in soft organic cotton jersey with ribbing around the neckline. Slightly longer at the back.
88370,832520001,832520,Tulip,252,Sweater,Garment Upper body,1010022,Jacquard,10,White,3,Light,9,White,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Long-sleeved top in a soft knit with a round, slightly wider neckline, gently dropped shoulders and rounded hem."
21869,595697008,595697,Hallie Shorts,274,Shorts,Garment Lower body,1010001,All over pattern,51,Light Pink,7,Medium,4,Pink,1745,Shorts,D,Divided,2,Divided,53,Divided Collection,1025,Shorts,"Shorts in a patterned weave with a high, elasticated waist."
98702,880481001,880481,Iris wrap LS,254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Fitted, long-sleeved top in ribbed cotton jersey with a V-neck and sewn-in wrapover at the front."
47703,689412010,689412,HOLLY SHIRT S.9,259,Shirt,Garment Upper body,1010006,Dot,13,Beige,2,Medium Dusty,11,Beige,1543,Tops Woven,D,Divided,2,Divided,53,Divided Collection,1010,Blouses,"Blouse in a patterned weave with a collar, V-neck, 3/4-length sleeves with buttoned cuffs, and a rounded hem. Longer at the back."
79314,797118001,797118,ES EMERELD L/S,254,Top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,Fitted top in ribbed cotton jersey with a V-neck and a seam down the front.
21171,592743040,592743,Regular Printed tee 9.99,255,T-shirt,Garment Upper body,1010008,Front print,7,Grey,2,Medium Dusty,12,Grey,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,T-shirt in printed cotton jersey.
85568,820340004,820340,IGGY tee,255,T-shirt,Garment Upper body,1010016,Solid,30,Other Orange,5,Bright,3,Orange,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Short, straight-style T-shirt in soft jersey with ribbing around the neckline and an embroidered motif at the top. The cotton content of the T-shirt is organic."
55008,708771002,708771,DUNGAREE DRESS,265,Dress,Garment Full body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,7917,Kids Girl Denim,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1016,Trousers Denim,Dungaree dress in soft stretch denim with adjustable shoulder straps and a heart-shaped pocket at the front.
102978,908380001,908380,Brad tulle top,254,Top,Garment Upper body,1010016,Solid,21,Light Yellow,3,Light,8,Yellow,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"Fitted, smocked top in tulle with a small, raw-edge frill trim at the top, wide shoulder straps with a bow on each shoulder and a raw-edge flounce at the hem."
103914,916943001,916943,LEONA Micro Bag,66,Bag,Accessories,1010009,Glittering/Metallic,51,Light Pink,3,Light,4,Pink,4312,Kids Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Small shoulder bag in the shape of a mini backpack in woven fabric containing glittery threads. Narrow shoulder strap with metal-chain sections up from the bag and a press-stud at one end. Small handle and a zip at the top and a zipped outer compartment. Taffeta lining made from recycled polyester. Depth 3 cm. Width 5 cm. Height 9 cm.
84377,815456028,815456,Madison Slim Stretch Chino,272,Trousers,Garment Lower body,1010016,Solid,7,Grey,2,Medium Dusty,12,Grey,5656,Trouser,F,Menswear,3,Menswear,21,Contemporary Casual,1009,Trousers,"Chinos in extra-stretchy cotton twill with a zip fly, side pockets, a coin pocket and welt back pockets with a button. Slim Fit – a fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette."
61530,733456005,733456,BRAX 2p shorts,274,Shorts,Garment Lower body,1010016,Solid,19,Greenish Khaki,1,Dusty Light,20,Khaki green,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Shorts in organic cotton jersey with an elasticated drawstring waist and side pockets.
24742,610543008,610543,SPEED Paprika,252,Sweater,Garment Upper body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,
12267,552473032,552473,DENISE S.8,259,Shirt,Garment Upper body,1010001,All over pattern,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1543,Tops Woven,D,Divided,2,Divided,53,Divided Collection,1010,Blouses,"Straight-cut shirt in a soft viscose weave with a collar, buttons down the front, long sleeves with narrow, buttoned cuffs, and a rounded hem."
72292,767203003,767203,FASHION OFFER HOOD,308,Hoodie,Garment Upper body,1010017,Stripe,73,Dark Blue,4,Dark,2,Blue,6545,Baby Boy Jersey Fancy,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1005,Jersey Fancy,"Jacket in lightweight cotton sweatshirt fabric with a jersey-lined hood, zip down the front with a chin guard, and ribbing at the cuffs and hem."
63665,739666003,739666,Liv Tee,255,T-shirt,Garment Upper body,1010015,Sequin,10,White,3,Light,9,White,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,T-shirt in soft cotton jersey with a reversible sequin motif on the front (size 2-3Y with normal sequins) and narrow ribbing around the neckline.
88795,834792001,834792,Isabelle dress (RW),265,Dress,Garment Full body,1010001,All over pattern,9,Black,4,Dark,5,Black,2033,Woven Tops,A,Ladieswear,1,Ladieswear,8,Mama,1010,Blouses,"Knee-length nursing dress in a patterned crêpe weave with a collar, buttons at the top and a practical inner top for easier nursing access. Short puff sleeves with gathered elastication for a draped effect. Gathered yoke at the shoulders and back. Elasticated seam and detachable tie belt at the waist. Jersey lining."
44817,681180037,681180,Panda skate dress j,265,Dress,Garment Full body,1010001,All over pattern,9,Black,4,Dark,5,Black,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short, sleeveless dress in sturdy jersey with a low-cut back, seam at the waist and flared skirt. The polyester content of the dress is partly recycled."
70127,759482007,759482,EVA eyelet belt (W),67,Belt,Accessories,1010029,Hologram,61,Light Purple,1,Dusty Light,4,Pink,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Belt in imitation leather with eyelets and a buckle in metal. Width 2.5 cm.
8899,526842006,526842,Juni Padded (Idro) 2p,306,Bra,Underwear,1010016,Solid,43,Dark Red,7,Medium,18,Red,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Bras in microfibre with lace details and underwired, lightly padded cups that shape the bust and provide good support. Narrow, adjustable shoulder straps and a narrow fastening at the back with two pairs of hooks and eyes."
37978,655993002,655993,Emma Slipon SG,94,Sneakers,Shoes,1010009,Glittering/Metallic,51,Light Pink,3,Light,4,Pink,4311,Kids Girl Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,Slip-on fabric trainers with elastic gores in the sides and a loop at the back. Fabric linings and insoles and rubber soles.
31790,633208001,633208,Love Lock Down,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1686,Jersey Occasion,A,Ladieswear,1,Ladieswear,14,Womens Premium,1013,Dresses Ladies,"Short, fitted dress in sturdy jersey with a V-neck, long sleeves and a slit at the back. Lined at the top."
96787,871558002,871558,Billy 5pkt Slim fit 3-p,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,7656,Kids Boy Trouser,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1009,Trousers,"Slim-fit trousers in washed cotton twill with an adjustable, elasticated waist, zip fly and press-stud and front and back pockets."
91531,849886003,849886,Acai seamless bra CONSCIOUS,306,Bra,Underwear,1010016,Solid,52,Pink,1,Dusty Light,4,Pink,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Sports bra in ribbed, fast-drying functional fabric. Lined cups with removable inserts that shape the bust and a racer back. Light support. The bra is designed with the minimum number of seams for a more comfortable fit and increased mobility. The polyamide content of the bra is recycled."
